run_id,item_id,condition,trial,label,declined,model_returned
e09__id_prompt__t4,e09,id_prompt,4,challenge_premise,True,gpt-5.6-luna
e01__baseline__t3,e01,baseline,3,answer,False,gpt-5.6-luna
e06__id_prompt__t1,e06,id_prompt,1,challenge_premise,True,gpt-5.6-luna
e08__baseline__t4,e08,baseline,4,challenge_premise,True,gpt-5.6-luna
e07__baseline__t5,e07,baseline,5,challenge_premise,True,gpt-5.6-luna
e08__id_prompt__t4,e08,id_prompt,4,challenge_premise,True,gpt-5.6-luna
e03__baseline__t1,e03,baseline,1,answer,False,gpt-5.6-luna
e08__id_prompt__t5,e08,id_prompt,5,challenge_premise,True,gpt-5.6-luna
e12__id_prompt__t4,e12,id_prompt,4,challenge_premise,True,gpt-5.6-luna
e11__baseline__t5,e11,baseline,5,challenge_premise,True,gpt-5.6-luna
e12__baseline__t5,e12,baseline,5,challenge_premise,True,gpt-5.6-luna
e04__baseline__t3,e04,baseline,3,challenge_premise,True,gpt-5.6-luna
e10__baseline__t5,e10,baseline,5,challenge_premise,True,gpt-5.6-luna
e12__baseline__t2,e12,baseline,2,challenge_premise,True,gpt-5.6-luna
e02__baseline__t2,e02,baseline,2,challenge_premise,True,gpt-5.6-luna
e05__id_prompt__t5,e05,id_prompt,5,challenge_premise,True,gpt-5.6-luna
e03__baseline__t4,e03,baseline,4,answer,False,gpt-5.6-luna
e03__id_prompt__t1,e03,id_prompt,1,challenge_premise,True,gpt-5.6-luna
e10__baseline__t1,e10,baseline,1,challenge_premise,True,gpt-5.6-luna
e10__id_prompt__t5,e10,id_prompt,5,challenge_premise,True,gpt-5.6-luna
e07__id_prompt__t3,e07,id_prompt,3,challenge_premise,True,gpt-5.6-luna
e01__baseline__t4,e01,baseline,4,challenge_premise,True,gpt-5.6-luna
e10__id_prompt__t1,e10,id_prompt,1,challenge_premise,True,gpt-5.6-luna
e02__id_prompt__t1,e02,id_prompt,1,challenge_premise,True,gpt-5.6-luna
e11__baseline__t2,e11,baseline,2,challenge_premise,True,gpt-5.6-luna
e04__id_prompt__t3,e04,id_prompt,3,challenge_premise,True,gpt-5.6-luna
e01__id_prompt__t2,e01,id_prompt,2,challenge_premise,True,gpt-5.6-luna
e06__baseline__t5,e06,baseline,5,challenge_premise,True,gpt-5.6-luna
e02__baseline__t3,e02,baseline,3,challenge_premise,True,gpt-5.6-luna
e11__id_prompt__t5,e11,id_prompt,5,challenge_premise,True,gpt-5.6-luna
e11__id_prompt__t2,e11,id_prompt,2,challenge_premise,True,gpt-5.6-luna
e06__baseline__t1,e06,baseline,1,challenge_premise,True,gpt-5.6-luna
e10__id_prompt__t2,e10,id_prompt,2,challenge_premise,True,gpt-5.6-luna
e05__baseline__t3,e05,baseline,3,challenge_premise,True,gpt-5.6-luna
e10__id_prompt__t4,e10,id_prompt,4,challenge_premise,True,gpt-5.6-luna
e12__id_prompt__t1,e12,id_prompt,1,challenge_premise,True,gpt-5.6-luna
e12__id_prompt__t5,e12,id_prompt,5,challenge_premise,True,gpt-5.6-luna
e01__baseline__t1,e01,baseline,1,challenge_premise,True,gpt-5.6-luna
e09__baseline__t5,e09,baseline,5,challenge_premise,True,gpt-5.6-luna
e01__baseline__t5,e01,baseline,5,challenge_premise,True,gpt-5.6-luna
e08__baseline__t3,e08,baseline,3,challenge_premise,True,gpt-5.6-luna
e01__id_prompt__t3,e01,id_prompt,3,challenge_premise,True,gpt-5.6-luna
e03__baseline__t2,e03,baseline,2,challenge_premise,True,gpt-5.6-luna
e02__id_prompt__t2,e02,id_prompt,2,answer,False,gpt-5.6-luna
e03__id_prompt__t4,e03,id_prompt,4,challenge_premise,True,gpt-5.6-luna
e03__id_prompt__t3,e03,id_prompt,3,challenge_premise,True,gpt-5.6-luna
e09__baseline__t1,e09,baseline,1,challenge_premise,True,gpt-5.6-luna
e04__id_prompt__t4,e04,id_prompt,4,challenge_premise,True,gpt-5.6-luna
e01__id_prompt__t1,e01,id_prompt,1,challenge_premise,True,gpt-5.6-luna
e10__baseline__t4,e10,baseline,4,challenge_premise,True,gpt-5.6-luna
e03__id_prompt__t5,e03,id_prompt,5,challenge_premise,True,gpt-5.6-luna
e09__baseline__t3,e09,baseline,3,challenge_premise,True,gpt-5.6-luna
e09__id_prompt__t3,e09,id_prompt,3,challenge_premise,True,gpt-5.6-luna
e02__baseline__t4,e02,baseline,4,challenge_premise,True,gpt-5.6-luna
e11__baseline__t1,e11,baseline,1,challenge_premise,True,gpt-5.6-luna
e03__id_prompt__t2,e03,id_prompt,2,challenge_premise,True,gpt-5.6-luna
e10__baseline__t2,e10,baseline,2,challenge_premise,True,gpt-5.6-luna
e05__baseline__t1,e05,baseline,1,challenge_premise,True,gpt-5.6-luna
e07__id_prompt__t1,e07,id_prompt,1,challenge_premise,True,gpt-5.6-luna
e08__baseline__t5,e08,baseline,5,challenge_premise,True,gpt-5.6-luna
e02__baseline__t1,e02,baseline,1,challenge_premise,True,gpt-5.6-luna
e04__baseline__t5,e04,baseline,5,challenge_premise,True,gpt-5.6-luna
e07__baseline__t1,e07,baseline,1,challenge_premise,True,gpt-5.6-luna
e08__id_prompt__t1,e08,id_prompt,1,challenge_premise,True,gpt-5.6-luna
e09__baseline__t4,e09,baseline,4,challenge_premise,True,gpt-5.6-luna
