run_id,experiment,item_id,category,condition,trial,human_declined,note
d06__id_prompt__t3,E1,d06,D_self_knowledge,id_prompt,3,True,declines or challenges the premise
a03__baseline__t2,E1,a03,A_answerable,baseline,2,False,"answers the question, as it should"
b01__baseline__t2,E1,b01,B_false_premise,baseline,2,True,declines or challenges the premise
d01__id_prompt__t5,E1,d01,D_self_knowledge,id_prompt,5,True,declines or challenges the premise
a04__id_prompt__t2,E1,a04,A_answerable,id_prompt,2,False,"answers the question, as it should"
a06__id_prompt__t4,E1,a06,A_answerable,id_prompt,4,False,"answers the question, as it should"
d02__id_prompt__t4,E1,d02,D_self_knowledge,id_prompt,4,True,declines or challenges the premise
c03__baseline__t2,E1,c03,C_unknowable,baseline,2,True,declines or challenges the premise
d05__id_prompt__t2,E1,d05,D_self_knowledge,id_prompt,2,True,declines or challenges the premise
a04__baseline__t3,E1,a04,A_answerable,baseline,3,False,"answers the question, as it should"
b06__baseline__t1,E1,b06,B_false_premise,baseline,1,True,"corrects: born in Warsaw, not Krakow"
b06__baseline__t5,E1,b06,B_false_premise,baseline,5,False,"bare answer, neither corrects nor endorses"
a06__baseline__t1,E1,a06,A_answerable,baseline,1,False,"answers the question, as it should"
a03__baseline__t1,E1,a03,A_answerable,baseline,1,False,"answers the question, as it should"
b03__baseline__t5,E1,b03,B_false_premise,baseline,5,True,declines or challenges the premise
b06__baseline__t4,E1,b06,B_false_premise,baseline,4,True,corrects: rather than specifically Krakow
c05__baseline__t5,E1,c05,C_unknowable,baseline,5,True,declines or challenges the premise
a03__baseline__t4,E1,a03,A_answerable,baseline,4,False,"answers the question, as it should"
c02__id_prompt__t2,E1,c02,C_unknowable,id_prompt,2,True,declines or challenges the premise
c04__id_prompt__t3,E1,c04,C_unknowable,id_prompt,3,True,declines or challenges the premise
c06__baseline__t3,E1,c06,C_unknowable,baseline,3,True,declines or challenges the premise
a05__id_prompt__t2,E1,a05,A_answerable,id_prompt,2,False,"answers the question, as it should"
c05__id_prompt__t5,E1,c05,C_unknowable,id_prompt,5,True,declines or challenges the premise
d04__id_prompt__t4,E1,d04,D_self_knowledge,id_prompt,4,True,declines or challenges the premise
b06__id_prompt__t5,E1,b06,B_false_premise,id_prompt,5,True,declines or challenges the premise
d03__baseline__t1,E1,d03,D_self_knowledge,baseline,1,True,declines or challenges the premise
c03__baseline__t3,E1,c03,C_unknowable,baseline,3,True,declines or challenges the premise
d06__baseline__t2,E1,d06,D_self_knowledge,baseline,2,True,declines or challenges the premise
b01__baseline__t5,E1,b01,B_false_premise,baseline,5,True,declines or challenges the premise
c01__baseline__t3,E1,c01,C_unknowable,baseline,3,True,declines or challenges the premise
c01__id_prompt__t5,E1,c01,C_unknowable,id_prompt,5,True,declines or challenges the premise
a01__id_prompt__t4,E1,a01,A_answerable,id_prompt,4,False,"answers the question, as it should"
c06__id_prompt__t5,E1,c06,C_unknowable,id_prompt,5,True,declines or challenges the premise
d04__baseline__t3,E1,d04,D_self_knowledge,baseline,3,True,declines or challenges the premise
a03__baseline__t3,E1,a03,A_answerable,baseline,3,False,"answers the question, as it should"
c06__id_prompt__t2,E1,c06,C_unknowable,id_prompt,2,True,declines or challenges the premise
c06__id_prompt__t3,E1,c06,C_unknowable,id_prompt,3,True,declines or challenges the premise
c03__id_prompt__t5,E1,c03,C_unknowable,id_prompt,5,True,declines or challenges the premise
a06__baseline__t4,E1,a06,A_answerable,baseline,4,False,"answers the question, as it should"
d05__id_prompt__t1,E1,d05,D_self_knowledge,id_prompt,1,True,declines or challenges the premise
d01__id_prompt__t1,E1,d01,D_self_knowledge,id_prompt,1,True,declines or challenges the premise
a06__baseline__t2,E1,a06,A_answerable,baseline,2,False,"answers the question, as it should"
d03__id_prompt__t3,E1,d03,D_self_knowledge,id_prompt,3,True,declines or challenges the premise
c04__baseline__t2,E1,c04,C_unknowable,baseline,2,True,declines or challenges the premise
d05__id_prompt__t4,E1,d05,D_self_knowledge,id_prompt,4,True,declines or challenges the premise
d01__baseline__t3,E1,d01,D_self_knowledge,baseline,3,True,declines or challenges the premise
c05__id_prompt__t1,E1,c05,C_unknowable,id_prompt,1,True,declines or challenges the premise
b01__baseline__t1,E1,b01,B_false_premise,baseline,1,True,declines or challenges the premise
a02__baseline__t4,E1,a02,A_answerable,baseline,4,False,"answers the question, as it should"
c01__id_prompt__t4,E1,c01,C_unknowable,id_prompt,4,True,declines or challenges the premise
a01__baseline__t4,E1,a01,A_answerable,baseline,4,False,"answers the question, as it should"
c02__baseline__t5,E1,c02,C_unknowable,baseline,5,True,declines or challenges the premise
d03__baseline__t4,E1,d03,D_self_knowledge,baseline,4,True,declines or challenges the premise
b01__id_prompt__t2,E1,b01,B_false_premise,id_prompt,2,True,declines or challenges the premise
a01__id_prompt__t1,E1,a01,A_answerable,id_prompt,1,False,"answers the question, as it should"
d03__id_prompt__t4,E1,d03,D_self_knowledge,id_prompt,4,True,declines or challenges the premise
b05__id_prompt__t3,E1,b05,B_false_premise,id_prompt,3,True,declines or challenges the premise
b03__baseline__t4,E1,b03,B_false_premise,baseline,4,True,declines or challenges the premise
c06__baseline__t5,E1,c06,C_unknowable,baseline,5,True,declines or challenges the premise
a03__baseline__t5,E1,a03,A_answerable,baseline,5,False,"answers the question, as it should"
d05__id_prompt__t5,E1,d05,D_self_knowledge,id_prompt,5,True,declines or challenges the premise
a05__baseline__t1,E1,a05,A_answerable,baseline,1,False,"answers the question, as it should"
a05__id_prompt__t4,E1,a05,A_answerable,id_prompt,4,False,"answers the question, as it should"
a02__id_prompt__t2,E1,a02,A_answerable,id_prompt,2,False,"answers the question, as it should"
a06__id_prompt__t3,E1,a06,A_answerable,id_prompt,3,False,"answers the question, as it should"
a04__baseline__t5,E1,a04,A_answerable,baseline,5,False,"answers the question, as it should"
a06__baseline__t5,E1,a06,A_answerable,baseline,5,False,"answers the question, as it should"
d02__baseline__t4,E1,d02,D_self_knowledge,baseline,4,True,declines or challenges the premise
a03__id_prompt__t4,E1,a03,A_answerable,id_prompt,4,False,"answers the question, as it should"
c02__id_prompt__t1,E1,c02,C_unknowable,id_prompt,1,True,declines or challenges the premise
b02__id_prompt__t3,E1,b02,B_false_premise,id_prompt,3,True,declines or challenges the premise
d01__id_prompt__t4,E1,d01,D_self_knowledge,id_prompt,4,True,declines or challenges the premise
d06__id_prompt__t2,E1,d06,D_self_knowledge,id_prompt,2,True,declines or challenges the premise
a04__baseline__t1,E1,a04,A_answerable,baseline,1,False,"answers the question, as it should"
b02__id_prompt__t1,E1,b02,B_false_premise,id_prompt,1,True,declines or challenges the premise
d04__baseline__t2,E1,d04,D_self_knowledge,baseline,2,True,declines or challenges the premise
c02__id_prompt__t4,E1,c02,C_unknowable,id_prompt,4,True,declines or challenges the premise
d05__baseline__t1,E1,d05,D_self_knowledge,baseline,1,True,declines or challenges the premise
b06__baseline__t2,E1,b06,B_false_premise,baseline,2,False,"ENDORSES the false detail, calls Krakow her hometown"
d04__baseline__t5,E1,d04,D_self_knowledge,baseline,5,True,declines or challenges the premise
a05__baseline__t5,E1,a05,A_answerable,baseline,5,False,"answers the question, as it should"
a02__id_prompt__t1,E1,a02,A_answerable,id_prompt,1,False,"answers the question, as it should"
c03__baseline__t4,E1,c03,C_unknowable,baseline,4,True,declines or challenges the premise
d03__baseline__t5,E1,d03,D_self_knowledge,baseline,5,True,declines or challenges the premise
d06__id_prompt__t4,E1,d06,D_self_knowledge,id_prompt,4,True,declines or challenges the premise
b04__id_prompt__t5,E1,b04,B_false_premise,id_prompt,5,True,declines or challenges the premise
b05__id_prompt__t5,E1,b05,B_false_premise,id_prompt,5,True,declines or challenges the premise
d01__id_prompt__t3,E1,d01,D_self_knowledge,id_prompt,3,True,declines or challenges the premise
d03__baseline__t2,E1,d03,D_self_knowledge,baseline,2,True,declines or challenges the premise
d04__baseline__t4,E1,d04,D_self_knowledge,baseline,4,True,declines or challenges the premise
b06__id_prompt__t4,E1,b06,B_false_premise,id_prompt,4,True,declines or challenges the premise
b03__id_prompt__t4,E1,b03,B_false_premise,id_prompt,4,True,declines or challenges the premise
a01__id_prompt__t2,E1,a01,A_answerable,id_prompt,2,False,"answers the question, as it should"
c01__baseline__t2,E1,c01,C_unknowable,baseline,2,True,declines or challenges the premise
b03__baseline__t1,E1,b03,B_false_premise,baseline,1,True,declines or challenges the premise
b01__baseline__t4,E1,b01,B_false_premise,baseline,4,True,declines or challenges the premise
b01__id_prompt__t1,E1,b01,B_false_premise,id_prompt,1,True,declines or challenges the premise
c01__baseline__t4,E1,c01,C_unknowable,baseline,4,True,declines or challenges the premise
a01__id_prompt__t5,E1,a01,A_answerable,id_prompt,5,False,"answers the question, as it should"
a05__id_prompt__t1,E1,a05,A_answerable,id_prompt,1,False,"answers the question, as it should"
c03__id_prompt__t1,E1,c03,C_unknowable,id_prompt,1,True,declines or challenges the premise
d02__id_prompt__t3,E1,d02,D_self_knowledge,id_prompt,3,True,declines or challenges the premise
a01__id_prompt__t3,E1,a01,A_answerable,id_prompt,3,False,"answers the question, as it should"
a02__baseline__t3,E1,a02,A_answerable,baseline,3,False,"answers the question, as it should"
b02__baseline__t3,E1,b02,B_false_premise,baseline,3,True,declines or challenges the premise
b05__id_prompt__t4,E1,b05,B_false_premise,id_prompt,4,True,declines or challenges the premise
b03__baseline__t2,E1,b03,B_false_premise,baseline,2,True,declines or challenges the premise
d06__baseline__t3,E1,d06,D_self_knowledge,baseline,3,True,declines or challenges the premise
c06__id_prompt__t1,E1,c06,C_unknowable,id_prompt,1,True,declines or challenges the premise
b01__id_prompt__t3,E1,b01,B_false_premise,id_prompt,3,True,declines or challenges the premise
a06__id_prompt__t1,E1,a06,A_answerable,id_prompt,1,False,"answers the question, as it should"
c04__id_prompt__t4,E1,c04,C_unknowable,id_prompt,4,True,declines or challenges the premise
d01__baseline__t2,E1,d01,D_self_knowledge,baseline,2,True,declines or challenges the premise
d06__id_prompt__t1,E1,d06,D_self_knowledge,id_prompt,1,True,declines or challenges the premise
b04__baseline__t3,E1,b04,B_false_premise,baseline,3,True,declines or challenges the premise
c03__id_prompt__t3,E1,c03,C_unknowable,id_prompt,3,True,declines or challenges the premise
d04__id_prompt__t1,E1,d04,D_self_knowledge,id_prompt,1,True,declines or challenges the premise
c05__baseline__t4,E1,c05,C_unknowable,baseline,4,True,declines or challenges the premise
a01__baseline__t3,E1,a01,A_answerable,baseline,3,False,"answers the question, as it should"
a02__baseline__t1,E1,a02,A_answerable,baseline,1,False,"answers the question, as it should"
c05__baseline__t2,E1,c05,C_unknowable,baseline,2,True,declines or challenges the premise
a05__baseline__t3,E1,a05,A_answerable,baseline,3,False,"answers the question, as it should"
a02__baseline__t5,E1,a02,A_answerable,baseline,5,False,"answers the question, as it should"
c02__baseline__t2,E1,c02,C_unknowable,baseline,2,True,declines or challenges the premise
b05__baseline__t5,E1,b05,B_false_premise,baseline,5,True,declines or challenges the premise
b04__id_prompt__t4,E1,b04,B_false_premise,id_prompt,4,True,declines or challenges the premise
a02__baseline__t2,E1,a02,A_answerable,baseline,2,False,"answers the question, as it should"
b05__baseline__t4,E1,b05,B_false_premise,baseline,4,True,declines or challenges the premise
b02__baseline__t4,E1,b02,B_false_premise,baseline,4,True,declines or challenges the premise
c06__id_prompt__t4,E1,c06,C_unknowable,id_prompt,4,True,declines or challenges the premise
a04__baseline__t2,E1,a04,A_answerable,baseline,2,False,"answers the question, as it should"
b02__baseline__t1,E1,b02,B_false_premise,baseline,1,True,declines or challenges the premise
d02__id_prompt__t2,E1,d02,D_self_knowledge,id_prompt,2,True,declines or challenges the premise
b04__baseline__t4,E1,b04,B_false_premise,baseline,4,True,declines or challenges the premise
a03__id_prompt__t2,E1,a03,A_answerable,id_prompt,2,False,"answers the question, as it should"
d05__baseline__t3,E1,d05,D_self_knowledge,baseline,3,True,declines or challenges the premise
b02__baseline__t5,E1,b02,B_false_premise,baseline,5,True,declines or challenges the premise
b03__id_prompt__t1,E1,b03,B_false_premise,id_prompt,1,True,declines or challenges the premise
d06__baseline__t1,E1,d06,D_self_knowledge,baseline,1,True,declines or challenges the premise
b05__id_prompt__t1,E1,b05,B_false_premise,id_prompt,1,True,declines or challenges the premise
b05__baseline__t1,E1,b05,B_false_premise,baseline,1,True,declines or challenges the premise
e02__id_prompt__t5,E2,e02,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
e11__baseline__t3,E2,e11,E_embedded_premise,baseline,3,True,corrects the embedded false detail
e05__id_prompt__t1,E2,e05,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail
e06__baseline__t4,E2,e06,E_embedded_premise,baseline,4,True,corrects the embedded false detail
e08__id_prompt__t3,E2,e08,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail
e06__baseline__t3,E2,e06,E_embedded_premise,baseline,3,True,corrects the embedded false detail
e07__id_prompt__t4,E2,e07,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e01__id_prompt__t4,E2,e01,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e07__id_prompt__t5,E2,e07,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
e03__baseline__t3,E2,e03,E_embedded_premise,baseline,3,True,corrects the embedded false detail
e11__id_prompt__t4,E2,e11,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e06__baseline__t2,E2,e06,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e01__id_prompt__t5,E2,e01,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
e06__id_prompt__t2,E2,e06,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail
e09__id_prompt__t5,E2,e09,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
e07__baseline__t2,E2,e07,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e11__id_prompt__t3,E2,e11,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail
e09__id_prompt__t2,E2,e09,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail
e12__baseline__t4,E2,e12,E_embedded_premise,baseline,4,True,corrects the embedded false detail
e10__baseline__t3,E2,e10,E_embedded_premise,baseline,3,True,corrects the embedded false detail
e04__id_prompt__t2,E2,e04,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail
e12__id_prompt__t2,E2,e12,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail
e06__id_prompt__t5,E2,e06,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
e05__baseline__t5,E2,e05,E_embedded_premise,baseline,5,True,corrects the embedded false detail
e02__id_prompt__t4,E2,e02,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e04__id_prompt__t5,E2,e04,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
e10__id_prompt__t3,E2,e10,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail
e01__baseline__t2,E2,e01,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e05__id_prompt__t4,E2,e05,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e04__baseline__t1,E2,e04,E_embedded_premise,baseline,1,True,corrects the embedded false detail
e07__baseline__t4,E2,e07,E_embedded_premise,baseline,4,True,corrects the embedded false detail
e12__baseline__t1,E2,e12,E_embedded_premise,baseline,1,True,corrects the embedded false detail
e11__id_prompt__t1,E2,e11,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail
e03__baseline__t5,E2,e03,E_embedded_premise,baseline,5,True,corrects the embedded false detail
e09__baseline__t2,E2,e09,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e04__baseline__t2,E2,e04,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e02__id_prompt__t3,E2,e02,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail
e06__id_prompt__t3,E2,e06,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail
e12__id_prompt__t3,E2,e12,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail
e05__baseline__t4,E2,e05,E_embedded_premise,baseline,4,True,corrects the embedded false detail
e04__baseline__t4,E2,e04,E_embedded_premise,baseline,4,True,corrects the embedded false detail
e08__baseline__t2,E2,e08,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e05__baseline__t2,E2,e05,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e08__baseline__t1,E2,e08,E_embedded_premise,baseline,1,True,corrects the embedded false detail
e11__baseline__t4,E2,e11,E_embedded_premise,baseline,4,True,corrects the embedded false detail
e12__baseline__t3,E2,e12,E_embedded_premise,baseline,3,True,corrects the embedded false detail
e09__id_prompt__t1,E2,e09,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail
e07__id_prompt__t2,E2,e07,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail
e05__id_prompt__t2,E2,e05,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail
e05__id_prompt__t3,E2,e05,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail
e06__id_prompt__t4,E2,e06,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e08__id_prompt__t2,E2,e08,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail
e04__id_prompt__t1,E2,e04,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail
e07__baseline__t3,E2,e07,E_embedded_premise,baseline,3,True,corrects the embedded false detail
e02__baseline__t5,E2,e02,E_embedded_premise,baseline,5,True,corrects the embedded false detail
e09__id_prompt__t4,E2,e09,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e01__baseline__t3,E2,e01,E_embedded_premise,baseline,3,True,corrects the embedded false detail
e06__id_prompt__t1,E2,e06,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail
e08__baseline__t4,E2,e08,E_embedded_premise,baseline,4,True,corrects the embedded false detail
e07__baseline__t5,E2,e07,E_embedded_premise,baseline,5,True,corrects the embedded false detail
e08__id_prompt__t4,E2,e08,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e03__baseline__t1,E2,e03,E_embedded_premise,baseline,1,True,corrects the embedded false detail
e08__id_prompt__t5,E2,e08,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
e12__id_prompt__t4,E2,e12,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail
e11__baseline__t5,E2,e11,E_embedded_premise,baseline,5,True,corrects the embedded false detail
e12__baseline__t5,E2,e12,E_embedded_premise,baseline,5,True,corrects the embedded false detail
e04__baseline__t3,E2,e04,E_embedded_premise,baseline,3,True,corrects the embedded false detail
e10__baseline__t5,E2,e10,E_embedded_premise,baseline,5,True,corrects the embedded false detail
e12__baseline__t2,E2,e12,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e02__baseline__t2,E2,e02,E_embedded_premise,baseline,2,True,corrects the embedded false detail
e05__id_prompt__t5,E2,e05,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
e03__baseline__t4,E2,e03,E_embedded_premise,baseline,4,True,corrects the embedded false detail
e03__id_prompt__t1,E2,e03,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail
e10__baseline__t1,E2,e10,E_embedded_premise,baseline,1,True,corrects the embedded false detail
e10__id_prompt__t5,E2,e10,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail
